timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864606.411,1.000,0.000,1.000,0.000
1774864606.422,1.000,0.000,0.913,0.087
1774864606.432,0.745,0.255,0.976,0.024
1774864606.442,1.000,0.000,1.000,0.000
1774864606.452,1.000,0.000,1.000,0.000
1774864606.463,1.000,0.000,1.000,0.000
1774864606.473,1.000,0.000,1.000,0.000
1774864606.483,1.000,0.000,1.000,0.000
1774864606.493,1.000,0.000,0.979,0.021
1774864606.503,1.000,0.000,1.000,0.000
1774864606.514,1.000,0.000,1.000,0.000
1774864606.524,1.000,0.000,1.000,0.000
1774864606.534,0.795,0.205,1.000,0.000
1774864606.544,0.839,0.161,1.000,0.000
1774864606.555,1.000,0.000,0.990,0.010
1774864606.565,1.000,0.000,1.000,0.000
1774864606.575,0.801,0.199,1.000,0.000
1774864606.585,1.000,0.000,0.805,0.195
1774864606.596,1.000,0.000,1.000,0.000
1774864606.606,0.000,1.000,1.000,0.000
